Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|SK,Actual Total Load [MW] - BZN|SK
01.01.2023 00:00 - 01.01.2023 01:00,2520,2339
01.01.2023 01:00 - 01.01.2023 02:00,2420,2201
01.01.2023 02:00 - 01.01.2023 03:00,2430,2211
01.01.2023 03:00 - 01.01.2023 04:00,2410,2164
01.01.2023 04:00 - 01.01.2023 05:00,2450,2152
01.01.2023 05:00 - 01.01.2023 06:00,2470,2166
01.01.2023 06:00 - 01.01.2023 07:00,2570,2217
01.01.2023 07:00 - 01.01.2023 08:00,2650,2248
01.01.2023 08:00 - 01.01.2023 09:00,2820,2264
01.01.2023 09:00 - 01.01.2023 10:00,3030,2427
01.01.2023 10:00 - 01.01.2023 11:00,3060,2463
01.01.2023 11:00 - 01.01.2023 12:00,3200,2590
01.01.2023 12:00 - 01.01.2023 13:00,3100,2557
01.01.2023 13:00 - 01.01.2023 14:00,3020,2460
01.01.2023 14:00 - 01.01.2023 15:00,2990,2451
01.01.2023 15:00 - 01.01.2023 16:00,2950,2379
01.01.2023 16:00 - 01.01.2023 17:00,3140,2596
01.01.2023 17:00 - 01.01.2023 18:00,3180,2648
01.01.2023 18:00 - 01.01.2023 19:00,3160,2663
01.01.2023 19:00 - 01.01.2023 20:00,3150,2655
01.01.2023 20:00 - 01.01.2023 21:00,3100,2656
01.01.2023 21:00 - 01.01.2023 22:00,2960,2522
01.01.2023 22:00 - 01.01.2023 23:00,2800,2380
01.01.2023 23:00 - 02.01.2023 00:00,2690,2263
02.01.2023 00:00 - 02.01.2023 01:00,2200,2196
02.01.2023 01:00 - 02.01.2023 02:00,2140,2090
02.01.2023 02:00 - 02.01.2023 03:00,2150,2089
02.01.2023 03:00 - 02.01.2023 04:00,2150,2083
02.01.2023 04:00 - 02.01.2023 05:00,2340,2208
02.01.2023 05:00 - 02.01.2023 06:00,2490,2351
02.01.2023 06:00 - 02.01.2023 07:00,2840,2657
02.01.2023 07:00 - 02.01.2023 08:00,3050,2858
02.01.2023 08:00 - 02.01.2023 09:00,3230,3038
02.01.2023 09:00 - 02.01.2023 10:00,3350,3164
02.01.2023 10:00 - 02.01.2023 11:00,3330,3155
02.01.2023 11:00 - 02.01.2023 12:00,3430,3285
02.01.2023 12:00 - 02.01.2023 13:00,3410,3277
02.01.2023 13:00 - 02.01.2023 14:00,3340,3256
02.01.2023 14:00 - 02.01.2023 15:00,3290,3182
02.01.2023 15:00 - 02.01.2023 16:00,3230,3090
02.01.2023 16:00 - 02.01.2023 17:00,3390,3262
02.01.2023 17:00 - 02.01.2023 18:00,3350,3235
02.01.2023 18:00 - 02.01.2023 19:00,3340,3197
02.01.2023 19:00 - 02.01.2023 20:00,3300,3157
02.01.2023 20:00 - 02.01.2023 21:00,3200,3082
02.01.2023 21:00 - 02.01.2023 22:00,3020,2895
02.01.2023 22:00 - 02.01.2023 23:00,2850,2726
02.01.2023 23:00 - 03.01.2023 00:00,2730,2610
03.01.2023 00:00 - 03.01.2023 01:00,2430,2469
03.01.2023 01:00 - 03.01.2023 02:00,2330,2368
03.01.2023 02:00 - 03.01.2023 03:00,2300,2369
03.01.2023 03:00 - 03.01.2023 04:00,2320,2336
03.01.2023 04:00 - 03.01.2023 05:00,2480,2428
03.01.2023 05:00 - 03.01.2023 06:00,2650,2566
03.01.2023 06:00 - 03.01.2023 07:00,3020,2853
03.01.2023 07:00 - 03.01.2023 08:00,3130,3003
03.01.2023 08:00 - 03.01.2023 09:00,3290,3158
03.01.2023 09:00 - 03.01.2023 10:00,3290,3284
03.01.2023 10:00 - 03.01.2023 11:00,3340,3257
03.01.2023 11:00 - 03.01.2023 12:00,3430,3365
03.01.2023 12:00 - 03.01.2023 13:00,3370,3352
03.01.2023 13:00 - 03.01.2023 14:00,3310,3313
03.01.2023 14:00 - 03.01.2023 15:00,3260,3250
03.01.2023 15:00 - 03.01.2023 16:00,3260,3211
03.01.2023 16:00 - 03.01.2023 17:00,3370,3354
03.01.2023 17:00 - 03.01.2023 18:00,3300,3313
03.01.2023 18:00 - 03.01.2023 19:00,3260,3279
03.01.2023 19:00 - 03.01.2023 20:00,3230,3244
03.01.2023 20:00 - 03.01.2023 21:00,3060,3146
03.01.2023 21:00 - 03.01.2023 22:00,2920,2962
03.01.2023 22:00 - 03.01.2023 23:00,2800,2782
03.01.2023 23:00 - 04.01.2023 00:00,2640,2658
04.01.2023 00:00 - 04.01.2023 01:00,2420,2546
04.01.2023 01:00 - 04.01.2023 02:00,2350,2445
04.01.2023 02:00 - 04.01.2023 03:00,2340,2458
04.01.2023 03:00 - 04.01.2023 04:00,2320,2458
04.01.2023 04:00 - 04.01.2023 05:00,2460,2527
04.01.2023 05:00 - 04.01.2023 06:00,2660,2637
04.01.2023 06:00 - 04.01.2023 07:00,2920,2925
04.01.2023 07:00 - 04.01.2023 08:00,3070,3085
04.01.2023 08:00 - 04.01.2023 09:00,3250,3219
04.01.2023 09:00 - 04.01.2023 10:00,3300,3345
04.01.2023 10:00 - 04.01.2023 11:00,3350,3294
04.01.2023 11:00 - 04.01.2023 12:00,3370,3378
04.01.2023 12:00 - 04.01.2023 13:00,3350,3362
04.01.2023 13:00 - 04.01.2023 14:00,3280,3321
04.01.2023 14:00 - 04.01.2023 15:00,3250,3259
